strength_mean_core,radius_m,core_count,border_count,encounters,core_fraction,radius_p80_m,strength_p95_core,strength_mean_all,strength_p95_all,eps_km,min_samples,method,center_estimator,strength_min,wp_id,lat,lon
4.4,1426.1,6,3,8,0.7,1184.7,8.5,3.9,7.6,1.0,5,dbscan,median,2.0,0,-31.286333910789253,117.34411074459301
5.3,1010.9,4,3,6,0.6,936.3,8.0,5.0,8.0,1.0,5,dbscan,median,2.0,1,-31.102023379271838,116.80558148910505
4.0,1537.3,8,5,13,0.6,1409.0,6.9,3.8,5.9,1.0,5,dbscan,median,2.0,2,-32.766683966659514,117.17591515154359
4.0,1314.6,6,1,7,0.9,671.5,6.8,3.8,6.6,1.0,5,dbscan,median,2.0,3,-31.484348827238335,117.1343304000397
3.7,2022.8,8,6,14,0.6,1444.8,6.4,3.7,7.0,1.0,5,dbscan,median,2.0,4,-32.97673414715609,117.10885664110921
6.3,969.5,1,4,5,0.2,779.5,6.3,3.5,5.7,1.0,5,dbscan,median,2.0,5,-31.852628750722417,117.09053553301308
3.9,1683.9,5,5,9,0.5,1293.0,6.2,4.1,6.2,1.0,5,dbscan,median,2.0,6,-31.30265360653427,117.01017147761152
4.3,1642.9,6,2,8,0.8,1282.6,5.9,3.9,5.8,1.0,5,dbscan,median,2.0,7,-32.110298133620496,117.51878168069993
3.3,2820.5,15,6,21,0.7,1826.4,5.9,3.2,4.4,1.0,5,dbscan,median,2.0,8,-32.01110828373017,117.36902820815016
3.4,6512.4,231,12,189,1.0,3501.6,5.9,3.4,5.9,1.0,5,dbscan,median,2.0,9,-32.92891432460809,117.08372403198652
4.3,1480.9,4,5,9,0.4,1446.0,5.6,4.3,6.2,1.0,5,dbscan,median,2.0,10,-32.03741982384254,117.38847954912902
3.4,1311.2,6,2,8,0.8,943.4,5.5,3.3,5.3,1.0,5,dbscan,median,2.0,11,-31.408639779436243,117.20435164513002
4.0,1401.3,6,3,9,0.7,1179.5,5.5,3.7,5.2,1.0,5,dbscan,median,2.0,12,-31.42631507233471,116.86658153875709
3.9,976.1,5,1,6,0.8,679.7,5.4,3.6,5.3,1.0,5,dbscan,median,2.0,13,-32.88876087617468,117.30188584909216
3.8,2577.3,10,6,16,0.6,1994.3,5.3,3.4,5.1,1.0,5,dbscan,median,2.0,14,-31.76619075668723,116.97634215248507
3.9,840.1,3,2,5,0.6,463.6,5.3,3.5,5.2,1.0,5,dbscan,median,2.0,15,-32.874254826089775,117.0753580037333
3.4,5146.6,71,13,77,0.8,3574.1,5.3,3.4,5.2,1.0,5,dbscan,median,2.0,16,-31.20425661111111,117.0393841750842
3.5,1808.6,9,7,16,0.6,1445.1,5.2,3.2,4.5,1.0,5,dbscan,median,2.0,17,-32.90708502737783,117.23364033632018
3.7,1818.2,8,6,14,0.6,1610.5,5.2,3.3,5.0,1.0,5,dbscan,median,2.0,18,-32.03924745168865,117.32638966747324
3.6,2101.8,12,4,16,0.8,1361.8,5.1,3.6,5.5,1.0,5,dbscan,median,2.0,19,-32.05234844146736,117.1774370560516
3.9,611.3,2,3,5,0.4,573.2,5.1,3.7,5.0,1.0,5,dbscan,median,2.0,20,-32.10809368111012,117.19729504588864
3.4,731.4,5,0,5,1.0,601.9,5.1,3.4,5.1,1.0,5,dbscan,median,2.0,21,-31.933278220435344,117.86410954329968
3.8,1267.1,5,2,7,0.7,1058.5,5.1,3.6,5.1,1.0,5,dbscan,median,2.0,22,-32.324868243699896,117.82347714120372
3.6,1556.0,5,2,6,0.7,951.8,5.1,3.9,5.5,1.0,5,dbscan,median,2.0,23,-31.197144507988384,117.57450824790564
5.1,932.7,1,4,5,0.2,898.0,5.1,3.3,4.7,1.0,5,dbscan,median,2.0,24,-32.080630737433864,117.23302807539685
3.4,361.0,5,0,5,1.0,318.7,5.0,3.4,5.0,1.0,5,dbscan,median,2.0,25,-31.489786965977608,116.86803919279932
3.4,4372.4,35,13,47,0.7,3037.7,5.0,3.3,5.0,1.0,5,dbscan,median,2.0,26,-32.32267947568667,117.0100908375115
3.5,2630.1,27,7,30,0.8,1819.4,5.0,3.4,4.8,1.0,5,dbscan,median,2.0,27,-31.245172754309287,117.02106769478728
3.4,2238.5,11,5,16,0.7,1643.9,5.0,3.2,4.8,1.0,5,dbscan,median,2.0,28,-32.06264113798422,117.08988120738545
3.6,1962.3,7,3,10,0.7,1140.7,4.9,3.6,4.9,1.0,5,dbscan,median,2.0,29,-31.35846724431449,117.02213589798572
3.2,1528.9,6,2,8,0.8,1208.2,4.9,3.4,5.0,1.0,5,dbscan,median,2.0,30,-31.720377736987132,117.68220292935882
4.2,1199.0,3,4,6,0.4,1045.8,4.9,3.7,4.9,1.0,5,dbscan,median,2.0,31,-31.580092244658925,116.85872772015792
3.6,1945.6,16,3,17,0.8,1596.5,4.9,3.5,4.9,1.0,5,dbscan,median,2.0,32,-31.714456909248224,117.01470204333282
4.9,683.6,1,2,3,0.3,496.5,4.9,3.6,4.8,1.0,5,dbscan,median,2.0,33,-32.78908585144552,117.17877850503164
4.9,945.7,1,4,5,0.2,864.5,4.9,3.9,4.8,1.0,5,dbscan,median,2.0,34,-31.432015244708992,117.56580201719576
3.4,2495.9,16,7,22,0.7,1823.1,4.9,3.3,4.6,1.0,5,dbscan,median,2.0,35,-31.99226121031746,117.20734574629998
3.7,930.4,2,5,7,0.3,873.9,4.9,3.3,4.8,1.0,5,dbscan,median,2.0,36,-32.45412304210369,116.99558740891949
3.7,1660.1,8,3,11,0.7,1285.4,4.9,3.5,4.8,1.0,5,dbscan,median,2.0,37,-31.89785248195185,117.38432126329013
3.3,1829.1,9,4,12,0.7,1405.6,4.9,3.4,5.5,1.0,5,dbscan,median,2.0,38,-31.349489204545456,117.3444498984316
3.6,1197.5,4,4,8,0.5,1070.1,4.9,3.4,4.7,1.0,5,dbscan,median,2.0,39,-31.816327708609073,117.38291008828057
4.9,837.9,1,4,5,0.2,713.1,4.9,3.4,4.6,1.0,5,dbscan,median,2.0,40,-32.93264151067964,117.2678725993455
3.2,2315.3,13,5,17,0.7,1453.0,4.9,3.1,4.1,1.0,5,dbscan,median,2.0,41,-32.40165043209876,116.97301446023182
4.9,942.7,1,4,4,0.2,874.5,4.9,3.6,4.7,1.0,5,dbscan,median,2.0,42,-31.62298700637069,116.90683073460748
4.9,963.2,1,2,3,0.3,899.3,4.9,3.6,4.8,1.0,5,dbscan,median,2.0,43,-31.18180342552721,117.08843309727948
3.7,1264.5,3,5,7,0.4,1164.6,4.8,3.6,4.8,1.0,5,dbscan,median,2.0,44,-32.47998839065255,116.89994509034526
4.0,1339.2,5,4,9,0.6,999.6,4.8,3.8,4.7,1.0,5,dbscan,median,2.0,45,-31.366209529788183,117.4343511009962
3.9,1434.3,4,3,7,0.6,1169.5,4.8,3.5,4.6,1.0,5,dbscan,median,2.0,46,-31.475187061138676,117.00041305555555
3.4,2786.9,10,6,16,0.6,1864.5,4.8,3.4,5.2,1.0,5,dbscan,median,2.0,47,-31.359592138793236,116.84841195112288
3.7,1210.0,2,4,6,0.3,906.1,4.8,3.0,4.6,1.0,5,dbscan,median,2.0,48,-32.97301155101236,116.96264556108929
3.3,3624.9,26,6,31,0.8,2370.8,4.8,3.3,4.7,1.0,5,dbscan,median,2.0,49,-31.60142886890894,117.88750740254885
3.4,1208.6,4,5,9,0.4,1159.6,4.8,3.4,4.9,1.0,5,dbscan,median,2.0,50,-31.567283997718473,116.87175869473757
3.7,1080.5,4,2,6,0.7,1014.6,4.8,3.4,4.7,1.0,5,dbscan,median,2.0,51,-32.70119620084828,116.88387567141284
3.3,1048.8,5,1,6,0.8,594.5,4.8,3.4,4.7,1.0,5,dbscan,median,2.0,52,-31.760308950617283,117.03883343017684
4.6,988.7,2,3,5,0.4,819.0,4.8,3.9,4.7,1.0,5,dbscan,median,2.0,53,-33.00529543792779,117.06468313266896
3.5,1586.0,5,2,7,0.7,921.8,4.7,3.3,4.6,1.0,5,dbscan,median,2.0,54,-32.30132160493827,116.97106650414167
3.3,2321.0,12,6,18,0.7,1547.8,4.7,3.4,4.9,1.0,5,dbscan,median,2.0,55,-31.649322091755323,117.30469397375543
3.4,1270.7,5,2,7,0.7,832.9,4.7,3.3,4.6,1.0,5,dbscan,median,2.0,56,-31.27420225330225,117.017659796627
4.7,972.0,1,4,5,0.2,930.2,4.7,3.0,4.4,1.0,5,dbscan,median,2.0,57,-31.269812971950984,117.27933042524673
3.1,8657.5,453,26,329,0.9,4838.1,4.7,3.1,4.8,1.0,5,dbscan,median,2.0,58,-31.632027020946257,117.22256797448068
3.7,1421.7,6,4,10,0.6,1250.7,4.7,3.8,5.3,1.0,5,dbscan,median,2.0,59,-31.872078234254488,117.30218884200308
3.3,1839.4,18,5,22,0.8,1470.0,4.7,3.1,4.6,1.0,5,dbscan,median,2.0,60,-31.316825836341938,117.03717971562027
3.4,2212.7,6,5,11,0.5,1581.4,4.7,3.2,4.5,1.0,5,dbscan,median,2.0,61,-31.817639241379503,116.9411159231201
4.1,1275.7,3,4,6,0.4,1147.8,4.7,3.8,4.6,1.0,5,dbscan,median,2.0,62,-31.479535880272635,117.1904319572047
3.3,540.1,5,0,5,1.0,510.8,4.7,3.3,4.7,1.0,5,dbscan,median,2.0,63,-32.891173309098306,117.337484375
3.8,1346.1,3,4,6,0.4,789.2,4.6,3.7,4.6,1.0,5,dbscan,median,2.0,64,-31.409038263684252,117.25790922500543
4.6,936.7,1,4,5,0.2,847.3,4.6,3.3,4.6,1.0,5,dbscan,median,2.0,65,-32.627331792725144,117.20047457121636
3.4,1270.1,3,4,7,0.4,1108.5,4.6,3.1,4.4,1.0,5,dbscan,median,2.0,66,-31.902809142213172,117.07918340335544
3.5,1284.4,4,4,7,0.5,837.2,4.6,3.3,4.5,1.0,5,dbscan,median,2.0,67,-31.79222654336173,117.57496265998161
